CAM	participantCAM	id	date	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
f14240b9-287c-4c40-bbc8-924f5f81d364	17566	3de282c3-f723-45d5-9faf-bb710101b225	2022-12-18T13:48:24Z	15a143db-5cf6-40e4-aee5-19eff016c96f	4cf286ac-751b-4477-a690-a979886dd64c	3	1	1	1	TRUE
f14240b9-287c-4c40-bbc8-924f5f81d364	17566	dd2fd50f-47d0-4d08-b214-2f72e982f1ed	2022-12-18T13:48:54Z	a04583fd-7aab-46d6-af5b-c5209213e875	6400b60b-a328-44e9-83c0-280c562545fc	3	1	0	1	TRUE
5c068d28-1b61-459c-b064-3566a500c356	20671	4d5f1384-21dc-4852-b389-8875b48492bb	2022-12-17T21:53:05Z	f145ead4-e051-4d03-8a7c-f72f125c48e2	baeda2a0-a715-4482-a1cc-ff7f0990f27d	3	1	0	1	TRUE
5c068d28-1b61-459c-b064-3566a500c356	20671	0d63dcfa-64ad-4dc7-b577-2c1da5325eb6	2022-12-17T21:53:57Z	66fc253e-8cf8-43ab-9e79-352dc22cd4b3	f145ead4-e051-4d03-8a7c-f72f125c48e2	6	0	0	1	TRUE
5c068d28-1b61-459c-b064-3566a500c356	20671	ab6d138e-28ca-4bc8-bfc6-be8ac9a4969b	2022-12-17T21:54:43Z	baeda2a0-a715-4482-a1cc-ff7f0990f27d	b8e20d4f-42a4-4b87-b69b-697195d11dee	3	1	1	1	TRUE
5c068d28-1b61-459c-b064-3566a500c356	20671	97854d35-c5ef-414d-9171-83f96f253c4c	2022-12-17T21:55:11Z	a874a0e3-eb23-4a4c-9987-218a0b5848f2	b8e20d4f-42a4-4b87-b69b-697195d11dee	3	1	1	1	TRUE
5c068d28-1b61-459c-b064-3566a500c356	20671	5a130114-cdeb-4990-bcf2-b02b29b0ece5	2022-12-17T21:55:22Z	370590de-77e4-4c57-a625-86beeedf299d	a874a0e3-eb23-4a4c-9987-218a0b5848f2	6	0	1	1	TRUE
5c068d28-1b61-459c-b064-3566a500c356	20671	a49f88b0-e688-4e7f-84c2-65a18970808f	2022-12-17T21:56:16Z	e38cdcbb-c2b4-4783-9f0d-953e72467f44	baeda2a0-a715-4482-a1cc-ff7f0990f27d	3	0	1	1	TRUE
5c068d28-1b61-459c-b064-3566a500c356	20671	6a2a0340-041f-4dcb-a070-7a9131f8c356	2022-12-17T21:58:55Z	01a88c9d-9484-46bf-96d7-0a80ffb938c5	baeda2a0-a715-4482-a1cc-ff7f0990f27d	6	0	0	1	TRUE
5c068d28-1b61-459c-b064-3566a500c356	20671	568b2bfa-4008-4ff1-949d-513276197cde	2022-12-17T22:01:02Z	66fc253e-8cf8-43ab-9e79-352dc22cd4b3	01a88c9d-9484-46bf-96d7-0a80ffb938c5	6	0	1	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	3db8e035-9303-446f-8486-9a3583787363	2022-12-16T13:29:00Z	c1b2d588-a12b-4406-be4e-31f032618e56	813a45ca-5906-46a0-8441-74eaed4474e4	6	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	31ef0b10-7865-472a-aafc-e8333c34ca8f	2022-12-16T13:29:18Z	1307b22d-6305-4437-aa4b-a16aa7ed1c9e	c1b2d588-a12b-4406-be4e-31f032618e56	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	e1101047-6d66-479a-a404-007060e18e20	2022-12-16T13:30:03Z	50bc67f1-176f-4781-9fed-afb598d38c0d	83416f90-2bde-4ce3-824e-650193d8614a	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	3aecdd35-b8ea-4152-8692-86cab59bb435	2022-12-16T13:30:10Z	0da91b1f-4c56-4d49-a817-a468a25c83e2	50bc67f1-176f-4781-9fed-afb598d38c0d	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	021bf9ca-2dca-4956-b10c-02452f1c1d50	2022-12-16T13:31:25Z	63fa9525-706b-4482-b0d2-39aad1ec4ad8	f206e8da-bfb8-468e-8317-b777a710e6b7	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	ea195c8a-64ab-4a2d-9eff-58c6f78f6f88	2022-12-16T13:31:44Z	ed316a3f-3b02-4bb3-8dae-ad4d7fc4543c	83416f90-2bde-4ce3-824e-650193d8614a	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	88644888-5bc0-4606-837d-9ac2f7fd46a9	2022-12-16T13:31:51Z	63fa9525-706b-4482-b0d2-39aad1ec4ad8	ed316a3f-3b02-4bb3-8dae-ad4d7fc4543c	6	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	e90fded5-a071-442a-ac61-2e122124383f	2022-12-16T13:33:31Z	365b625e-b464-41d2-95c1-2b7444b38d32	c6ad922a-e56a-4434-8f03-cb49cdbfa66d	9	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	c077a4f1-8026-4498-bed1-88ae12efb280	2022-12-16T13:33:42Z	c6ad922a-e56a-4434-8f03-cb49cdbfa66d	043ff3d6-f237-4f3e-be6c-2cd23e15e89c	6	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	b10ffd11-5991-49b3-b1ad-b6eaa9c00fa0	2022-12-16T13:34:56Z	af0dd299-66ea-4086-b98e-43ca2cfd7b14	813a45ca-5906-46a0-8441-74eaed4474e4	6	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	c55f8791-0537-44be-921d-841eaf1f6aa1	2022-12-16T13:35:07Z	8e5a4e53-e336-4694-ac5e-e14ec7d04ddd	af0dd299-66ea-4086-b98e-43ca2cfd7b14	6	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	fb930557-4dab-4f01-b1b6-59efc776b667	2022-12-16T13:35:21Z	365b625e-b464-41d2-95c1-2b7444b38d32	8e5a4e53-e336-4694-ac5e-e14ec7d04ddd	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	943b2ba1-0e30-4ad2-afc3-ee0d73644d89	2022-12-16T13:36:16Z	16027bd9-08aa-4c43-b74a-63142bb8d701	813a45ca-5906-46a0-8441-74eaed4474e4	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	f6938e32-206d-4b74-9b23-2beb5bf3636a	2022-12-16T13:36:22Z	f206e8da-bfb8-468e-8317-b777a710e6b7	16027bd9-08aa-4c43-b74a-63142bb8d701	6	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	e675e57c-fde6-4cd7-9a6e-20f02fd59bc9	2022-12-16T13:37:56Z	6bfffd1a-a874-4cfd-8281-c4d46384dc6d	c1b2d588-a12b-4406-be4e-31f032618e56	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	8e9e0396-3fae-4119-964c-a56ad7375052	2022-12-16T13:38:04Z	5a163e57-9c6b-4506-9dab-963e01d13f3d	6bfffd1a-a874-4cfd-8281-c4d46384dc6d	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	8af0f83c-553d-4a53-9fe9-fb6564d6d80b	2022-12-16T13:40:43Z	63ef23dd-7687-4dc7-9727-17803a99aae2	83416f90-2bde-4ce3-824e-650193d8614a	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	a109eebc-1f33-4412-bac3-a482dc5e6852	2022-12-16T13:40:52Z	50bc67f1-176f-4781-9fed-afb598d38c0d	63ef23dd-7687-4dc7-9727-17803a99aae2	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	97849cca-e23c-4a91-9b66-362be6cc1b6d	2022-12-16T13:41:07Z	2b4dfa2c-497f-44b2-9680-8135bb558bb4	83416f90-2bde-4ce3-824e-650193d8614a	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	cef92750-208d-48ad-bd6a-9ffe3a2d280f	2022-12-16T13:41:14Z	4faadea4-4c9f-4d78-92e2-95d726738d09	83416f90-2bde-4ce3-824e-650193d8614a	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	c709e807-684b-45f2-83fa-08b7cb357100	2022-12-16T13:41:20Z	63fa9525-706b-4482-b0d2-39aad1ec4ad8	2b4dfa2c-497f-44b2-9680-8135bb558bb4	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	1aa4d00c-66e6-4d0d-9c8a-b002628f99f1	2022-12-16T13:41:25Z	63fa9525-706b-4482-b0d2-39aad1ec4ad8	4faadea4-4c9f-4d78-92e2-95d726738d09	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	af92f77c-d09d-4366-9f39-c535d576fbf5	2022-12-16T13:41:53Z	83416f90-2bde-4ce3-824e-650193d8614a	043ff3d6-f237-4f3e-be6c-2cd23e15e89c	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	0fff9ee6-a531-4bdf-a6a0-70fba4b6dfb4	2022-12-16T13:42:02Z	813a45ca-5906-46a0-8441-74eaed4474e4	043ff3d6-f237-4f3e-be6c-2cd23e15e89c	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	e15d59ce-9a8d-4a03-80ff-576ad7cfc18b	2022-12-16T13:42:38Z	6e25c208-d1a7-45ec-8b45-bd7968e89e73	813a45ca-5906-46a0-8441-74eaed4474e4	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	09317e51-7d11-4b21-b1ff-197776b1908a	2022-12-16T13:42:44Z	0da91b1f-4c56-4d49-a817-a468a25c83e2	6e25c208-d1a7-45ec-8b45-bd7968e89e73	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	413a6d55-8102-437c-b6ab-953182757234	2022-12-16T13:42:53Z	0da91b1f-4c56-4d49-a817-a468a25c83e2	1307b22d-6305-4437-aa4b-a16aa7ed1c9e	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	bca4a94b-cc98-4532-b4d8-3aaff63581ad	2022-12-16T13:42:59Z	0da91b1f-4c56-4d49-a817-a468a25c83e2	5a163e57-9c6b-4506-9dab-963e01d13f3d	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	53cf2e22-2fe4-4f46-8779-4c02df207347	2022-12-16T13:43:16Z	0da91b1f-4c56-4d49-a817-a468a25c83e2	365b625e-b464-41d2-95c1-2b7444b38d32	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	c90f078e-67c8-4981-b473-6cb6cdec6e2e	2022-12-16T13:44:38Z	166d8571-fd20-4389-8d6d-0d0c8c62b60d	af0dd299-66ea-4086-b98e-43ca2cfd7b14	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	aa244de4-f186-4158-9188-1444d98f5ac9	2022-12-16T13:44:56Z	166d8571-fd20-4389-8d6d-0d0c8c62b60d	c1b2d588-a12b-4406-be4e-31f032618e56	3	1	0	1	TRUE
cb0195d4-c885-4fcb-8da2-218e5b7b4c29	18970	de70bf9e-d13d-45d3-9044-ac5f4a421f0f	2022-12-16T13:45:17Z	63fa9525-706b-4482-b0d2-39aad1ec4ad8	166d8571-fd20-4389-8d6d-0d0c8c62b60d	3	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	441f2292-ccb1-405e-bcbb-86f095ea969b	2022-12-16T12:30:02Z	87312534-cb62-4407-9623-b7e94c338bdc	3f2edbc0-92de-400c-b8ef-cca33f7c6a07	3	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	f885fd7d-bae7-4dec-9f7c-2e0e86f683e0	2022-12-16T12:31:03Z	28066145-a505-4101-9d9e-674534078846	87312534-cb62-4407-9623-b7e94c338bdc	6	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	70f34bf0-e6d4-457e-b078-574b329f1fa0	2022-12-16T12:31:22Z	ae5c7b3d-b50a-4142-a3d4-014e14572c3d	87312534-cb62-4407-9623-b7e94c338bdc	6	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	07b945e8-4fd0-4b34-a598-873486af6f10	2022-12-16T12:31:31Z	7809d3b0-e186-4b86-8add-49ad92042bad	87312534-cb62-4407-9623-b7e94c338bdc	6	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	194fa48b-5ad1-416e-b08a-0141478f7562	2022-12-16T12:33:14Z	3f2edbc0-92de-400c-b8ef-cca33f7c6a07	3f8d3cf6-0035-4305-86c8-5843f31a4ac3	3	0	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	c515fba0-fbcc-462b-a133-48bededcaa20	2022-12-16T12:33:35Z	9c03ba12-e32c-47f6-8fed-2346d119312d	3f2edbc0-92de-400c-b8ef-cca33f7c6a07	3	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	322d22f6-7d70-4fa7-8060-f8b475b39f51	2022-12-16T12:33:53Z	4ddd921c-5e6c-4466-93fa-380635f752b6	9c03ba12-e32c-47f6-8fed-2346d119312d	6	0	1	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	c921b2ef-8c61-4327-8a5c-9b171bcff037	2022-12-16T12:34:55Z	0b141c64-8a9c-41a6-9943-5a9037349081	3f2edbc0-92de-400c-b8ef-cca33f7c6a07	3	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	84ce5eb9-7031-454a-b20f-b0db036a7ba0	2022-12-16T12:35:08Z	8c8c8c58-2f61-44e0-9ab6-8db554e3e67d	0b141c64-8a9c-41a6-9943-5a9037349081	3	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	58c54992-71a3-4d40-bbd1-3bc918791f80	2022-12-16T12:35:26Z	ef4038d1-22f4-4f6e-b535-870c81f70e90	0b141c64-8a9c-41a6-9943-5a9037349081	3	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	477473f2-e3d0-4564-ac4d-732c81133175	2022-12-16T12:35:33Z	11c918bf-436d-4501-b50c-0e8b044fb4c5	0b141c64-8a9c-41a6-9943-5a9037349081	3	1	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	b56f383b-3403-4303-b721-3ffc75cefa0a	2022-12-16T12:36:45Z	3f2edbc0-92de-400c-b8ef-cca33f7c6a07	fd812880-7d83-4356-aee0-6d773d3a2f68	3	0	1	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	69c929ee-9d7b-4e2a-a5ec-83e325e7e706	2022-12-16T12:37:04Z	fd812880-7d83-4356-aee0-6d773d3a2f68	f8b28805-a1bf-423c-8cb8-0b7ba6de1b2c	3	0	1	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	586509c6-80b9-4d3c-a9f9-4319a1eff02a	2022-12-16T12:37:50Z	3bd7d5e6-8958-49ae-af78-71a74b31b913	3f2edbc0-92de-400c-b8ef-cca33f7c6a07	3	0	0	1	TRUE
af3a3a09-513b-475c-94cc-cc72d440c2fd	19027	640f3a83-3549-44a3-a731-43cb09e5616d	2022-12-16T12:38:06Z	35f29e2d-7aae-4602-9da1-fe868014a583	3bd7d5e6-8958-49ae-af78-71a74b31b913	3	0	1	1	TRUE
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	b3693ac3-954d-4632-b877-3e7275b12727	2022-12-16T10:29:07Z	9ebfe382-cdcf-4dd3-a697-b8f153f4baf0	f308b954-66cd-41eb-9040-ab7343bff7ac	6	1	0	1	TRUE
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	459b2098-d605-4592-8507-a6c9f824c0de	2022-12-16T10:30:14Z	2f7b6e1e-019b-4c7c-92e3-3182bd6a798b	f308b954-66cd-41eb-9040-ab7343bff7ac	3	1	1	1	TRUE
c5c12ed3-6bab-4e44-b473-37b0a2ab9eea	20593	5f74e093-74a0-422f-b91b-f16db777ec33	2022-12-16T10:30:54Z	f308b954-66cd-41eb-9040-ab7343bff7ac	ba7823aa-3038-4262-9751-77a24e8c44af	3	1	0	1	TRUE
